Nombre del producto;Categoría;Subcategoría;Cate;Precio incluido IVA;Código de producto;Inventario inicial;Descripción ;Marca;Color;Peso;Garantía
ACCESS POINT TPLINK TL-WA801ND 300MBPS;redes;router;redes,router;28,39;ACC801;1;"2 Antenas
Velocidad de transmisión inalámbrica de 300 Mbps, provee una experiencia inalámbrica N fluida
Es compatible con múltiples modos de operación: Punto de acceso, Cliente, Universal / Repetidor WDS, Puente Inalámbrico
Fácil configuración de una conexión segura encriptada WPA al presionar el botón QSS
Instalación flexible: hasta 30 metros (100 pies) de distancia utilizando el inyector Power over Ethernet suministrado";Tplink;blanco;0.6;si
ACCESS POINT TPLINK TL-WA901ND 450MBPS;redes;router;redes,router;35,26;ACC901-450;3;"3 Antenas
Velocidad de transmisión inalámbrica de 450 Mbps, provee una experiencia inalámbrica N fluida
Es compatible con múltiples modos de operación: Punto de acceso, Cliente, Universal / Repetidor WDS, Puente Inalámbrico
Fácil configuración de una conexión segura encriptada WPA al presionar el botón QSS
De hasta 30 metros de alimentación a través de Ethernet para un despliegue flexible";Tplink;blanco;0.7;si
ACCESS POINT TRENDNET TEW-638APB 300MBPS;redes;router;redes,router;61,6;acc638;6;"2 Antenas
Amplíe su red inalámbrica con la tecnología del sistema de distribución inalámbrico (WDS).
Utilice el modo de puente inalámbrico para conectar de manera inalámbrica dispositivos como consolas de videojuegos, impresoras y grabadoras de video digitales. 
Su encriptación inalámbrica avanzada ofrece amplia seguridad
Ahorro de energía de hasta 50% con la tecnología GREENwifi";Trendnet;negro;0.4;si
AURICULARES  PARA CELULAR IPHONE CON PLUG;celulares;auriculares;celulares,auriculares;9,5;AUD-USBIPH;2;Auriculares imitación para iphone;;blanco;0.1;
"AURICULARES LG HBS-750 STEREO NEGRO/BLANCO/
DORADO";celulares;auriculares;celulares,auriculares;67,2;aud750;3;"Auriculares estéreo, con conexión bluetooth.
Controles de música y llamadas convenientemente ubicados en los lados del dispositivo.
El estilo de uso alrededor del cuello con ajuste contorneado significa la máxima comodidad.
Con una respuesta de graves mejorada y funciones como la voz HD, experimentarás un sonido completo, rico y auténtico.";Lg;negro/blanco/dorado;0.2;si
AURICULARES XT-6 NEGRO IMANTADO/VARIOS COLORES;celulares;auriculares;celulares,auriculares;8,68;AUD-XR6;2;AUDIFONO + MICROFONO, conexión bluetooth;;negro;0.1;
  AURICULARES SAMSUNG/AKG S8/S8+;celulares;auriculares;celulares,auriculares;3,93;HD-AUD-S8;1;AUDIFONO + MICROFONO / imitación;;negro;0.1;
AUDÍFONOS GENIUS HS-02B;computación;audífonos;computación,audífonos;5,96;MIC02B;15;Audífonos con micrófono estilo diadema con almohadillas de esponja suave que puede utilizar durante períodos prolongados con gran comodidad. Cuentan con un micrófono flexible y control de volumen en línea que hace que su voz suene mucho más clara. Ideales para mantener conversaciones en MSN, Skype y demás programas de mensajería instantánea por Internet. Para más información, consulte a su representante.;Genius;plateado;0.1;si
AUDÍFONOS GENIUS HS-04S;computación;audífonos;computación,audífonos;11,67;MIC04SP;12;Audífonos con micrófono con conexión jack, le dará la flexibilidad para hacer de todo con más comodidad y calidad. Su micrófono posee cancelación de ruido para proporcionar claridad mejorada de audio. Si pasa muchas horas chateando en su ordenador, jugando o en videoconferencia, tendrá una comodidad superior con la banda de la cabeza de goma blanda y las almohadillas de las orejas contienen espuma suave. ;Genius;plateado;0.2;si
AUDÍFONOS GENIUS HS-04SU;computación;audífonos;computación,audífonos;14,49;AUD-04SU;6;"Audífonos estéreo con micrófono, características generales: gris y color de plata con auriculares estéreo
Ajustable micrófono con anulación de micrófono en línea con función de silencio control de volumen en línea
Ideal para uso con MSN, SKYPE u otras aplicaciones VoIP
Funciona con un reproductor de MP3 u otro dispositivo de audio con un conector de audio de 3,5 mm
Auriculares y micrófono jack de 3.5 mm";Genius;negro;0.3;si
